Step	AgentID	acuity	complexity	care_setting
0	6e013a28-4135-4aaa-aa30-a8650661ad28	0.44942679845788375	0.025010755222666936	ED
1	6e013a28-4135-4aaa-aa30-a8650661ad28	0.25942679845788374	0.025010755222666936	ED
2	6e013a28-4135-4aaa-aa30-a8650661ad28	0.06942679845788374	0.025010755222666936	ED
3	6e013a28-4135-4aaa-aa30-a8650661ad28	0.0	0.025010755222666936	ED
4	6e013a28-4135-4aaa-aa30-a8650661ad28	0.0	0.025010755222666936	ED
5	6e013a28-4135-4aaa-aa30-a8650661ad28	0.0	0.025010755222666936	ED
6	6e013a28-4135-4aaa-aa30-a8650661ad28	0.0	0.025010755222666936	ED
7	6e013a28-4135-4aaa-aa30-a8650661ad28	0.0	0.025010755222666936	ED
8	6e013a28-4135-4aaa-aa30-a8650661ad28	0.0	0.025010755222666936	ED
9	6e013a28-4135-4aaa-aa30-a8650661ad28	0.0	0.025010755222666936	ED
0	62109d43-ac6e-42f2-8110-70ebd3df2ca9	0.08502931836911926	0.22321073814882275	ED
1	62109d43-ac6e-42f2-8110-70ebd3df2ca9	0.0	0.22321073814882275	ED
2	62109d43-ac6e-42f2-8110-70ebd3df2ca9	0.0	0.22321073814882275	ED
3	62109d43-ac6e-42f2-8110-70ebd3df2ca9	0.0	0.22321073814882275	ED
4	62109d43-ac6e-42f2-8110-70ebd3df2ca9	0.0	0.22321073814882275	ED
5	62109d43-ac6e-42f2-8110-70ebd3df2ca9	0.0	0.22321073814882275	ED
6	62109d43-ac6e-42f2-8110-70ebd3df2ca9	0.0	0.22321073814882275	ED
7	62109d43-ac6e-42f2-8110-70ebd3df2ca9	0.0	0.22321073814882275	ED
8	62109d43-ac6e-42f2-8110-70ebd3df2ca9	0.0	0.22321073814882275	ED
9	62109d43-ac6e-42f2-8110-70ebd3df2ca9	0.0	0.22321073814882275	ED
0	ecf912ad-cdee-4a51-a1d5-d641f26ae194	0.5464712141640125	0.6766994874229113	ED
1	ecf912ad-cdee-4a51-a1d5-d641f26ae194	0.35647121416401245	0.6766994874229113	ED
2	ecf912ad-cdee-4a51-a1d5-d641f26ae194	0.16647121416401245	0.6766994874229113	ED
3	ecf912ad-cdee-4a51-a1d5-d641f26ae194	0.0	0.6766994874229113	ED
4	ecf912ad-cdee-4a51-a1d5-d641f26ae194	0.0	0.6766994874229113	ED
5	ecf912ad-cdee-4a51-a1d5-d641f26ae194	0.0	0.6766994874229113	ED
6	ecf912ad-cdee-4a51-a1d5-d641f26ae194	0.0	0.6766994874229113	ED
7	ecf912ad-cdee-4a51-a1d5-d641f26ae194	0.0	0.6766994874229113	ED
8	ecf912ad-cdee-4a51-a1d5-d641f26ae194	0.0	0.6766994874229113	ED
9	ecf912ad-cdee-4a51-a1d5-d641f26ae194	0.0	0.6766994874229113	ED
0	9a5575ae-4930-496b-a94f-2d099aa89803	0.7021795677048455	0.08693883262941615	ED
1	9a5575ae-4930-496b-a94f-2d099aa89803	0.5121795677048455	0.08693883262941615	ED
2	9a5575ae-4930-496b-a94f-2d099aa89803	0.3221795677048455	0.08693883262941615	ED
3	9a5575ae-4930-496b-a94f-2d099aa89803	0.1321795677048455	0.08693883262941615	ED
